code,distillery,region,status,founded,closed,wikipedia,wikidata,confidence,last_verified
107,Glenallachie,Speyside,,,,,,,2026-08-16
108,Allt-a-Bhainne,Speyside,,,,,,,2026-08-16
109,Miltonduff (Mosstowie),Speyside,,,,,,,2026-08-16
110,Oban,Highland,,,,,,,2026-08-16
111,Lagavulin,Islay,,,,,,,2026-08-16
112,Loch Lomond (Inchmurrin / Inchmoan),Highland,,,,,,,2026-08-16
113,Braeval (Braes of Glenlivet),Speyside,,,,,,,2026-08-16
114,Springbank (Longrow),Campbeltown,,,,,,,2026-08-16
115,Knockdhu (AnCnoc),Speyside,,,,,,,2026-08-16
116,Yoichi,Japan,,,,,,,2026-08-16
117,Cooley (Unpeated),Ireland,,,,,,,2026-08-16
118,Cooley / Connemara (Peated),Ireland,,,,,,,2026-08-16
119,Yamazaki,Japan,,,,,,,2026-08-16
120,Hakushu,Japan,,,,,,,2026-08-16
121,Isle of Arran,Islands,,,,,,,2026-08-16
122,Loch Lomond (Croftengea),Highland,,,,,,,2026-08-16
123,Glengoyne,Highland,,,,,,,2026-08-16
124,Miyagikyo,Japan,,,,,,,2026-08-16
125,Glenmorangie,Highland,,,,,,,2026-08-16
126,Springbank (Hazelburn),Campbeltown,,,,,,,2026-08-16
127,Bruichladdich (Port Charlotte),Islay,,,,,,,2026-08-16
128,Penderyn,Wales,,,,,,,2026-08-16
129,Kilchoman,Islay,,,,,,,2026-08-16
130,Chichibu,Japan,,,,,,,2026-08-16
131,Hanyu,Japan,,,,,,,2026-08-16
132,Karuizawa,Japan,,,,,,,2026-08-16
133,Westland,"Washington, USA",,,,,,,2026-08-16
134,Paul John,India,,,,,,,2026-08-16
135,Loch Lomond,Highland,,,,,,,2026-08-16
136,Eden Mill,Lowland,,,,,,,2026-08-16
137,St. George’s (The English Whisky Co.),England,,,,,,,2026-08-16
138,Nantou,Taiwan,,,,,,,2026-08-16
139,Kavalan,Taiwan,,,,,,,2026-08-16
140,Balcones,"Texas, USA",,,,,,,2026-08-16
141,Fary Lochan,Denmark,,,,,,,2026-08-16
142,Breuckelen Distilling,"New York, USA",,,,,,,2026-08-16
143,Copperworks Distilling Co.,"Washington, USA",,,,,,,2026-08-16
144,High Coast Distillery,Sweden,,,,,,,2026-08-16
145,Smögen Whisky,Sweden,,,,,,,2026-08-16
146,Cotswolds,England,,,,,,,2026-08-16
147,Archie Rose,Australia,,,,,,,2026-08-16
148,Starward,Australia,,,,,,,2026-08-16
149,Ardnamurchan,Highland,,,,,,,2026-08-16
150,West Cork Distillers,Ireland,,,,,,,2026-08-16
151,Mackmyra,Sweden,,,,,,,2026-08-16
152,Shelter Point,Canada,,,,,,,2026-08-16
153,Thy Whisky,Denmark,,,,,,,2026-08-16
154,Mosgaard Whisky,Denmark,,,,,,,2026-08-16
155,Milk & Honey Distillery,Israel,,,,,,,2026-08-16
156,Glasgow Distillery,Lowland,,,,,,,2026-08-16
157,Distillerie de Warenghem,France,,,,,,,2026-08-16
158,Yuza Distillery,Japan,,,,,,,2026-08-16
159,Mars Shinshu,Japan,,,,,,,2026-08-16
160,Mars Tsunuki,Japan,,,,,,,2026-08-16
161,Nc'nean Distillery,Scotland,,,,,,,2026-08-16
162,Isle of Raasay,Scotland,,,,,,,2026-08-16
163,Isle of Harris Distillery,Scotland,,,,,,,2026-08-16
164,Penderyn (double distilled),Wales,,,,,,,2026-08-16
165,Wolfburn (peated),Scotland,,,,,,,2026-08-16
166,Torabhaig Distillery,Scotland,,,,,,,2026-08-16
167,Clydeside Distillery,Scotland,,,,,,,2026-08-16
168,InchDairnie Distillery (KinGlassie),Scotland,,,,,,,2026-08-16
A1,Chateau de Lacaze,France,,,,,,,2026-08-16
A2,Domaine Laguille,France,,,,,,,2026-08-16
A3,J. Goudoulin (Veuve Goudoulin),France,,,,,,,2026-08-16
